pct,month,total_list_size,list_size_over_55
RY2,2012-03-01 00:00:00+00:00,0,0
NKI,2012-03-01 00:00:00+00:00,0,0
00H,2012-03-01 00:00:00+00:00,130014,33764
10W,2012-03-01 00:00:00+00:00,129334,21821
04K,2012-03-01 00:00:00+00:00,345011,66338
5QD,2012-03-01 00:00:00+00:00,4519,1348
05P,2012-03-01 00:00:00+00:00,235313,71963
10C,2012-03-01 00:00:00+00:00,90404,26038
5QC,2012-03-01 00:00:00+00:00,4354,1168
07R,2012-03-01 00:00:00+00:00,254436,40074
01D,2012-03-01 00:00:00+00:00,224239,58003
5P6,2012-03-01 00:00:00+00:00,25,7
10J,2012-03-01 00:00:00+00:00,214526,57899
RJ7,2012-03-01 00:00:00+00:00,0,0
