bnf_code,squ
0501013K0AAAKAK,ml
120303000BBBYA0,unit
0410000M0BGABAF,ml
0802020T0BBADAF,unit
091200000BEDTA0,unit
0205051U0AAAGAG,ml
1108010T0BBAAAA,unit
1001010C0AAAYAY,ml
090402000BBUSA0,unit
0604011H0BBAAAA,unit
090605000BBHHA0,unit
0410020D0BDABAB,unit
0202040A0BBAAAA,unit
0901030K0BBADAD,unit
010102100BBAUA0,unit
1203030M0BPAAAQ,unit
1104010M0AAABAB,ml
0307000C0BHAAAM,unit
0406000A0BCACAD,unit
1001030U0AAAFAF,ml
091200000BFQQA0,unit
1502010G0AAARAR,unit
0501070X0BDAAAB,unit
040801060BDAACR,ml
0309020G0BWAAAL,ml
1305020P0BCAAAA,ml
0407020V0AAARAR,ml
0409010U0AAAAAA,unit
0906040G0BRABBW,unit
0803041S0AAAGAG,ml
1003010P0AAAAAA,unit
0206020F0BGACAD,unit
0802010G0BCABAE,unit
1003020N0BSAAA0,g
0401020E0BCAAAA,unit
1305020S0AACXCX,g
0604020P0AAAKAK,g
1001040K0AAAEAE,unit
0302000K0BDAAAL,unit
0906040G0CXAABH,unit
0601011P0BBAAAA,unit
0604030P0AAABAB,unit
0906011D0AAAJAJ,unit
0104020L0BCAAAA,unit
010300000BBABAB,unit
0106020C0BDAAAA,unit
130201100AAAGAG,ml
190607000AAATAT,ml
1001010K0BXAAAD,unit
0503010U0BBAEAD,unit
1203030B0BFAAAC,unit
0409010T0BFAAAK,unit
091200000BCNLA0,unit
1302020D0BMAAAK,ml
0408010C0AAAVAV,unit
0103050R0BBABAB,unit
1405000C0BTAABG,unit
1405010A0BMABAN,unit
1108010F0AABBBB,ml
0301011R0BIAAAA,unit
0205052I0BDACAC,unit
0206020I0BBAAAA,unit
0403010B0AABEBE,ml
0408010A0BCABAI,unit
040201060AAAUAU,unit
0902012L0BBAAAJ,unit
0309020H0BMACAI,ml
0410000P0BEAMBI,unit
0208020Y0BBAAAA,unit
1309000I0BBAEAA,ml
0411000E0BGABAG,unit
0501130R0BCABAB,unit
0206010I0AAATAT,ml
1309000C0BHAAAJ,ml
0103030S0BBAAAA,unit
0906040G0DFAFEQ,unit
0801000I0AAAGAG,unit
0403040W0BVAAAD,unit
1405000C0BCACAC,unit
0304010J0BCAAAA,ml
190205500BCFZA0,unit
0402010A0AAAAAA,unit
