month,pct,list_size
2017-09-01,01T,154588
2017-09-01,01V,124846
2017-09-01,01W,311315
2017-09-01,01X,197349
2017-09-01,01Y,247071
2017-09-01,02A,241432
2017-09-01,02D,106085
2017-09-01,02E,217834
2017-09-01,02F,262503
2017-09-01,02G,112943
2017-09-01,02H,326894
2017-09-01,02M,151648
2017-09-01,02N,159061
2017-09-01,02P,258952
2017-09-01,02Q,116837
2017-09-01,02R,332390
2017-09-01,02T,220369
2017-09-01,02V,216721
2017-09-01,02W,138165
2017-09-01,02X,319536
2017-09-01,02Y,303237
2017-09-01,03A,246978
2017-09-01,03C,372960
2017-09-01,03D,144143
2017-09-01,03E,162734
2017-09-01,03F,296877
2017-09-01,03G,279077
2017-09-01,03H,169536
2017-09-01,03J,192959
2017-09-01,03K,174038
2017-09-01,03L,262369
2017-09-01,03M,120095
2017-09-01,03N,591518
2017-09-01,03Q,352811
2017-09-01,03R,371494
2017-09-01,03T,249201
2017-09-01,03V,77515
2017-09-01,03W,329627
2017-09-01,03X,97627
2017-09-01,03Y,103999
2017-09-01,04C,398433
2017-09-01,04D,237361
2017-09-01,04E,193018
2017-09-01,04F,292219
2017-09-01,04G,679748
2017-09-01,04H,134269
2017-09-01,04J,292763
2017-09-01,04K,366943
2017-09-01,04L,151811
2017-09-01,04M,94013
2017-09-01,04N,126332
2017-09-01,04Q,133475
2017-09-01,04R,551529
2017-09-01,04V,387740
2017-09-01,04X,332087
2017-09-01,04Y,132669
2017-09-01,05A,506267
2017-09-01,05C,318954
2017-09-01,05D,141285
2017-09-01,05F,187178
2017-09-01,05G,217207
2017-09-01,05H,190916
2017-09-01,05J,177532
2017-09-01,05L,566949
2017-09-01,05N,308557
2017-09-01,05P,249106
2017-09-01,05Q,217820
2017-09-01,05R,284405
2017-09-01,05T,309303
2017-09-01,05V,148847
2017-09-01,05W,289459
2017-09-01,05X,184824
2017-09-01,05Y,284339
2017-09-01,06A,278023
2017-09-01,06D,115846
2017-09-01,06F,476010
2017-09-01,06H,955808
2017-09-01,06K,595730
2017-09-01,06L,405824
2017-09-01,06M,239392
2017-09-01,06N,643697
2017-09-01,06P,232498
2017-09-01,06Q,390144
2017-09-01,06T,348717
2017-09-01,06V,173509
2017-09-01,06W,232814
2017-09-01,06Y,226575
2017-09-01,07G,175124
2017-09-01,07H,311123
2017-09-01,07J,174899
2017-09-01,07K,250181
2017-09-01,07L,224111
2017-09-01,07M,420458
2017-09-01,07N,240238
2017-09-01,07P,375478
2017-09-01,07Q,348148
2017-09-01,07R,276183
2017-09-01,07T,314937
2017-09-01,07V,410404
2017-09-01,07W,434997
2017-09-01,07X,337062
2017-09-01,07Y,312500
2017-09-01,08A,293919
2017-09-01,08C,216295
2017-09-01,08D,316564
2017-09-01,08E,264892
2017-09-01,08F,276995
2017-09-01,08G,310036
