month,pct,s5_items,s3_items,s5_percent_items,s3_percent_items
2015-12-01,01Y,341905,108224,0.04337293672350227,0.01372893845940922
2015-12-01,03L,351277,114877,0.03902550066285481,0.012762385353002823
2015-12-01,06H,584732,282370,0.023882987200775453,0.011533213670336094
2015-12-01,08E,110173,35446,0.01891372557973531,0.006085119919574649
2015-12-01,09D,149138,85835,0.022858633533822923,0.013156075643871385
2015-12-01,08Y,88542,40272,0.02725658257458989,0.012397247559845994
2015-12-01,06P,121226,50735,0.028828601732198828,0.01206522617988804
2015-12-01,07V,191765,87266,0.025576837613722998,0.011639184998300791
2015-12-01,03X,69587,35737,0.030705249548822082,0.01576894395686342
2015-12-01,09F,182134,73550,0.031719709326849164,0.012809165894285284
